10	10	10	1.188	0.1510496607079936
10	0	10	2.144	0.2593530412391572
10	1000	10	0.756	0.11551623262554922
10	100	10	0.932	0.13422369388450014
10	10000	10	0.712	0.101666120217110720	
0	10	1.6439999999999997	0.2249977777668037
0	0	10	1.6439999999999997	0.2249977777668037
0	10	10	0.512	0.09765244492586962
0	100	10	0.08	0.04195235392680606
0	1000	10	0.028000000000000004	0.029933259094191533
0	10000	10	0.0	0.0
10	10	100	3.908	0.4132989232988636
10	0	100	5.22	0.559428279585507
10	1000	100	1.416	0.09830564581955602
10	100	100	2.708	0.2696961252966011
10	10000	100	1.02	0.0726636084983398
10	10	1000	12.120000000000001	0.46972332281886986
10	0	1000	13.567999999999998	0.6163894872562311
10	1000	1000	5.944	0.16894969665554285
